# x (m); y (m); l (m); vx (m/s); vy (m/s); vz (m/s); E
4.691164441378804437e-03;1.255479839141979961e-04;8.240246858683807768e-03;-3.067404684435192848e+03;-8.646403935193554844e+02;5.080068167165904888e+05;5.215902761744463351e+04
2.525686748476178248e-03;-9.019652413692750594e-04;1.589174370428572958e-01;-2.704588425477277724e+03;8.156047891764459337e+02;5.210171591545029660e+05;5.486433691100940632e+04
-1.801760740498683762e-03;6.958670542862445234e-04;1.630306067406993298e-01;1.262532295151249855e+03;-1.947198168644297766e+03;5.211091130320483353e+05;5.488317962638752215e+04
3.204884650234674989e-04;-8.610594611824880966e-04;-5.199448870025178554e-02;-7.248151033844662834e+02;1.612577551074384928e+03;5.023058821844213526e+05;5.099354716516238113e+04
-3.504295664512918802e-04;1.572802690734494439e-03;1.104388926227191231e-01;-5.612045943596237976e+02;-3.307902549283112421e+03;5.166962845787928090e+05;5.395880265740871255e+04
1.096228900078973899e-03;3.869946605208156028e-04;-9.787059419216700973e-02;-1.182456149718868119e+03;1.908350326311061281e+03;4.989481396259270841e+05;5.031447233566044451e+04
9.677374141916224954e-04;1.960806598252234911e-03;3.576276397079970054e-02;-8.859619816341589740e+02;-3.059615069364154351e+03;5.105458366032523918e+05;5.268168989312397753e+04
1.284670840139787076e-03;9.885206068116351216e-04;-3.433315159940225625e-02;-6.519796930061833109e+02;-6.068590452781271551e+02;5.042867844966711709e+05;5.139606194237213640e+04
8.188187047004783295e-04;3.954464096407158064e-04;-2.080033575519561750e-02;-8.809417345519249238e+02;1.358402414135475965e+03;5.052723710827358300e+05;5.159752572995806986e+04
1.532538381149723067e-03;-1.175992381549282890e-03;-4.761863119892094376e-02;-1.845457380717822616e+03;1.330964595978498210e+03;5.032766075755778002e+05;5.119124373801344336e+04
3.854642998270677631e-03;1.103266145368150992e-03;-1.600467375837584250e-01;-3.193903554200861890e+03;-1.368716379593682632e+03;4.932447729707395774e+05;4.917222401514678495e+04
2.732163571312202967e-03;1.150426353192650006e-03;1.456040161220797657e-01;-3.247126025363500958e+03;1.345141041210584717e+03;5.195520303555485443e+05;5.455710061626500828e+04
-7.552199728211228189e-04;-3.369377807680834763e-03;-1.955664740228957657e-02;1.021373018526363467e+03;4.375367645963336145e+03;5.055242440361793851e+05;5.165252976024892996e+04
-1.297158395029934352e-04;-1.493293540029598651e-03;1.103999061797397152e-01;-1.429615071974880493e+03;8.190288371536495333e+02;5.167617895099394955e+05;5.397075788114040188e+04
-1.014838322405924552e-03;3.025749355227819268e-03;2.148444541595696811e-02;1.168568107897621985e+03;-4.395383659262406582e+03;5.090832982890828862e+05;5.238243400216651207e+04
4.423420189424424886e-03;-1.583200374410177660e-03;7.309253263782329244e-03;-3.642667840336525842e+03;1.379140574670663682e+03;5.080492810124068055e+05;5.216876102957951662e+04
1.263427211978120296e-03;-3.177881850106014251e-03;-8.656227917444518638e-02;-2.026447718596252798e+03;4.258902517920622813e+03;4.997419861701613409e+05;5.047817828734248906e+04
-3.778489477751668523e-04;2.227225169591515955e-03;6.623319465319583987e-02;2.279301907635775422e+02;-3.109120210721599506e+03;5.128104848843524815e+05;5.314998629154985974e+04
-1.558692140661938888e-03;-4.483193801931382853e-04;3.949506470973197791e-02;2.743137480739088687e+02;5.818990499107471805e+02;5.106665595897716703e+05;5.270463901959715440e+04
-5.437302137044941995e-03;2.633653454259203943e-04;2.561278593579994350e-02;4.750807644520215035e+03;-1.578593978558254776e+02;5.093802064947112813e+05;5.244393408740794257e+04
4.685519834914906277e-03;8.410566761284775795e-05;5.463460005048140916e-02;-4.040279311331066310e+03;-3.975557080771959022e+02;5.121635086102826754e+05;5.301733166918886127e+04
1.192382288645824984e-03;1.870299060878105038e-03;-5.038212889471872791e-02;-8.842681945746792280e+02;-5.199946530463780618e+03;5.029885091485137236e+05;5.113722978234487528e+04
9.122205789073980836e-04;-1.429059652407644720e-03;4.883400069824044530e-03;-9.162359415071468902e+02;1.572738037471512598e+03;5.077556998303244472e+05;5.210609299448152160e+04
-1.148340781179111279e-03;7.980628644962438410e-05;5.441292447417746952e-02;5.354558307748991410e+02;1.610693136395062311e+03;5.117656057605341775e+05;5.293224110962920531e+04
-2.187360725137257704e-03;7.385017407852459935e-04;3.227250365734538745e-02;1.741068405414295967e+03;-9.313099949475780477e+02;5.101651098057263880e+05;5.260188749654802814e+04
2.478220296094197066e-03;-2.611636077602049431e-03;9.302494614029394732e-03;-2.308249797769202814e+03;5.668563338479590129e+03;5.077857749290153151e+05;5.211916708341272897e+04
-1.385384037690078193e-03;-1.649942868646504281e-03;-5.428988936475072878e-03;1.147340157205804189e+03;5.114082589543255381e+03;5.068251481775014545e+05;5.192016554593620094e+04
2.793625137927014963e-03;-1.212155154751069297e-03;-9.326855948794877949e-03;-2.191906688946919076e+03;2.012497133241840402e+03;5.062826238029095111e+05;5.180532010860250739e+04
4.282686039938391961e-03;4.556726166896426134e-04;-3.571213906880305392e-03;-4.860804209682899454e+03;-2.380616966195690111e+03;5.068153069776773336e+05;5.191851821971388563e+04
-9.516309122002547527e-04;-3.896322552012977561e-04;1.942618717259402689e-02;-1.219384001244304585e+02;1.362448861837244976e+03;5.089151308043560130e+05;5.234403275652546290e+04
-1.121456130196184567e-04;8.789273681047623252e-04;-4.492440725357293302e-02;6.502169529192575226e+01;-3.788808030479244167e+02;5.036738390289096860e+05;5.127106704475619335e+04
-3.077174247122027931e-03;1.714527555390432841e-03;-9.230575492447901098e-02;2.208027804398010176e+03;-1.487705455214160793e+03;4.992371679928068188e+05;5.037319394663179264e+04
1.955206503513919492e-03;-8.646009375022478260e-05;2.384790921453055004e-02;-1.619437002753459637e+03;1.043177861561688786e+02;5.092552259486926487e+05;5.241417008855961467e+04
8.784339225814593102e-03;-7.126335735543166223e-05;1.552432398771300126e-02;-6.053546746705863370e+03;-1.105319310921244202e+01;5.087912902793328394e+05;5.232558903893861861e+04
1.501539533556208415e-03;-4.906478853445871841e-03;1.636313040845737421e-01;-2.039492512847420585e+03;6.712083756035733131e+03;5.213391025029580924e+05;5.494049169304340467e+04
-2.431306755340030806e-03;6.384214222716165640e-04;1.179473467704471173e-01;2.335007275433637915e+03;6.190184268457879853e+02;5.174330508325402043e+05;5.411169172473299841e+04
5.360626874173188977e-03;-1.296609987435552377e-03;-7.818397149234408705e-02;-4.574591748365025524e+03;1.873495496381074418e+03;5.001566704731301288e+05;5.056242188000908936e+04
-2.668699402143722040e-03;-3.388730770962733712e-03;1.348177733761062869e-01;2.257013642114387494e+03;4.679968471656019574e+03;5.191115096966632991e+05;5.446758711002285418e+04
1.087371836141882899e-03;2.373754307337913854e-03;-8.926002340723629414e-02;-6.594489649796546473e+02;-3.404280058839347021e+03;4.994761331527475268e+05;5.042242489066243434e+04
2.810806140691962315e-03;4.544775862054563072e-04;-7.410966796137404000e-02;-2.318652697354796601e+03;-4.108449757556358236e+03;5.005417426648163819e+05;5.063985971707744466e+04
-9.741286685738604397e-04;-7.717487677240749029e-04;-6.983007332771305753e-02;4.140039854295760051e+02;2.427996832134575470e+03;5.014477280416215071e+05;5.082005475291720359e+04
