# x (m); y (m); l (m); vx (m/s); vy (m/s); vz (m/s); E
8.630055926353534111e-05;4.431900600011420659e-04;9.724923608353565341e-03;8.727656698363909982e+02;5.500999792049470898e+02;5.082151234681685455e+05;5.219997245350743469e+04
-1.708359258439122539e-03;7.315512362517384310e-04;5.117254127444336581e-02;4.379157814006212561e+02;6.929804890601309353e+01;5.116803335289005190e+05;5.291406071054199128e+04
-1.236687127480699377e-03;2.928920604291443061e-03;-4.971939939048767437e-02;1.939769314439122581e+03;-5.588070219046735474e+03;5.029103716675176984e+05;5.112279343645434710e+04
1.458686540689699447e-03;-3.686812914511559611e-03;7.391088481312967085e-02;-1.010969551642600891e+03;3.465709785302806722e+03;5.134183668205747381e+05;5.327673345102399617e+04
-3.999224624508592742e-04;1.055923196687715438e-03;9.347418347162995966e-02;8.231329550197028766e+02;-5.170101694570964810e+02;5.157031681774311000e+05;5.374950348209017102e+04
4.179056066666391703e-04;1.986423351956076444e-03;9.001601663766260752e-02;1.656232061564205935e+02;-1.811252369245391037e+03;5.150180869477298111e+05;5.360727037031512737e+04
1.177612596859372229e-03;4.921245816901959362e-04;-1.108040094073318299e-01;-1.523929209770701846e+03;-3.304584634654472666e+03;4.976860062747152406e+05;5.006190741901841830e+04
1.375805392629469862e-03;5.708564815015855758e-04;-7.972928148661402592e-02;-8.697132932256126878e+02;-3.072803095926154128e+03;5.001249097023591748e+05;5.055312349937680119e+04
-3.217990237586128613e-04;-2.441405296330616953e-04;-4.642063989646717792e-02;2.607916796286448147e+01;-1.206341424989174556e+02;5.037974023992661969e+05;5.129619939258359227e+04
1.178080115660059841e-03;-1.402659255374753789e-03;9.349498058549169451e-05;-1.665412709055137157e+03;4.949300500849211630e+02;5.073371235988061526e+05;5.202016108067820460e+04
-2.508620118848978219e-04;-3.937849956214113309e-03;1.666412343517051711e-02;-3.589442783450186170e+01;5.352991425490826259e+03;5.086709678219266934e+05;5.229923208529807744e+04
-1.451529627073710462e-03;4.802477213576767149e-04;-2.450141872997065040e-02;2.856184755817078440e+03;-5.486259269561644203e+01;5.053774679833326954e+05;5.162011191123726894e+04
3.229819873416668510e-03;-1.775925881533993726e-04;5.157350000915240235e-02;-6.013314107557479474e+03;-6.559327812853081241e+02;5.114112269139706041e+05;5.286577276827199967e+04
-4.936688212608841722e-05;6.883100868632638977e-04;-3.675674393003524557e-03;-4.415739494618853200e+02;2.990481491578336772e+02;5.069690711467912770e+05;5.194415974221394572e+04
-1.958126187420150229e-04;-1.721270075081787851e-04;-8.585375840482326049e-02;4.759860065182356834e+02;1.508920825281356201e+03;4.998399197940033046e+05;5.049397292820860457e+04
-4.741592120993406469e-03;1.829380271284603422e-04;3.466555137246725427e-02;4.190443092783288193e+03;-1.360217368136263303e+03;5.103620626592664048e+05;5.264564428400502948e+04
2.426863395640764531e-03;-3.246618204220751581e-03;-6.831029104438894606e-02;-3.858219212308896431e+02;4.127129610909372786e+03;5.012896029193209833e+05;5.079025614860884525e+04
-5.882508564006113565e-04;-6.765022865726134265e-05;1.777679163907206969e-02;1.468033652188505130e+03;1.108011062420563348e+03;5.089319758115566801e+05;5.234780346113664564e+04
-4.936381433242945094e-04;-3.340951126485351263e-03;1.930152544293790851e-02;-1.380532251112642825e+03;2.768413680874921738e+03;5.085467318931591581e+05;5.226983398213289911e+04
-2.060756206583915786e-04;3.550310514086080661e-04;-8.059994609339649063e-02;3.616030776230622905e+02;-1.098403074958882826e+03;4.998954380707083037e+05;5.050495469896014401e+04
1.609565313931577649e-03;-1.660883477343023766e-03;1.782262530981126511e-02;-2.674910180762107757e+03;-1.060447260099211917e+03;5.087309800327759003e+05;5.230745373223182833e+04
-6.811531807948331945e-04;-2.396866629445405621e-03;1.791982969337087631e-02;-3.302512373096440683e+02;-7.024506306688059567e+02;5.087530310163169052e+05;5.231043664153570717e+04
2.576405233466620205e-04;2.820535449054641593e-05;8.320900449143051048e-02;-1.875365329255257052e+02;7.037205159436933855e+02;5.145673692801954458e+05;5.351292250045138644e+04
-4.977403506420592129e-04;-1.963150801365446969e-03;-3.469594410041898763e-03;-2.310325733604427256e+01;1.045846859351419880e+03;5.069516531100393040e+05;5.194075418178536347e+04
-2.979579288009752652e-04;-2.205717854957467503e-03;-6.548079042913887426e-02;1.382048911490959881e+03;1.839085912019473653e+03;5.017158819112422061e+05;5.087426449192596920e+04
-1.275438122179375390e-03;1.006440615511103396e-03;-8.141148827914225505e-02;5.001129392313577569e+02;-2.743236982750252992e+03;5.004583510942726280e+05;5.062006268887394981e+04
-1.738628223754545366e-03;1.445960934264674128e-03;-2.811933844230709093e-02;1.408654423645374891e+03;-1.778711078939814797e+03;5.044687286189103033e+05;5.143403550781331433e+04
-2.491483223207047962e-03;-3.099116180804001395e-03;-1.426010213301550852e-02;1.608411781398367111e+03;1.381615907001503274e+03;5.059987413493871572e+05;5.174636099676165759e+04
-1.652902083254966653e-03;1.622215319900198981e-03;-5.593784831133496310e-03;1.883869638816672932e+03;-1.016669787152399181e+03;5.066328653853491414e+05;5.187615590736814920e+04
1.964493738396734263e-03;1.441843408726284370e-04;5.076388522065441999e-02;-2.664582917308990545e+03;5.016030279122639399e+02;5.118134236028189189e+05;5.294303663765909005e+04
1.371152620577222741e-04;3.121745836620664662e-03;-5.880147662041809720e-02;1.621571591549961795e+02;-3.000156351051459296e+03;5.018492133720950806e+05;5.090206212512454658e+04
8.073853051607289165e-04;2.550771679132482744e-03;-3.355906501522511187e-02;-2.228217992547272843e+03;-3.272587625617066351e+03;5.042584096345569124e+05;5.139328587201633491e+04
-7.571799457272219806e-04;-4.115244551457111310e-04;2.113045069045216273e-02;3.246371667234508891e+02;3.201048152918360302e+03;5.092167251843123231e+05;5.240780518831083464e+04
2.299547008085059407e-04;-6.444366573516656485e-07;1.526672877325663908e-03;6.317682377985421454e+02;1.226693368026532426e+03;5.072668912749731098e+05;5.200553433327213133e+04
3.167281268472625297e-03;4.967388768274326417e-04;-4.410542889791797469e-03;-3.353825148186547267e+03;-1.360305946925134322e+03;5.064454477086923434e+05;5.183950391751780990e+04
-2.445611386808094548e-03;-1.774965917924121138e-03;3.365247313546085306e-02;2.488084612371961612e+03;2.490806526064936861e+03;5.100767084143980173e+05;5.258537671704861714e+04
2.095260931071237735e-03;-1.049721686668264337e-03;8.130784650993384821e-02;-1.553524068050616506e+03;-5.060168054873903429e+02;5.143304118497905438e+05;5.346408103936076805e+04
3.147801936071786474e-04;3.404433870668954146e-04;-1.704065936394191447e-02;6.926454961291024119e+02;4.226244408307196068e+02;5.056329129263954237e+05;5.167079032527645177e+04
-6.530062199296076493e-04;7.594764327075881078e-04;8.813314370500268530e-03;-9.981627693207012726e+02;-1.767547534779783518e+03;5.081459075615951442e+05;5.218637249542039353e+04
-1.854716108986103034e-04;-2.243646114719903464e-03;-6.352243849988946367e-02;-3.089508414162471013e+02;3.337997271507143068e+03;5.015006128310012864e+05;5.083181955145300890e+04
-1.220797177188506083e-03;-5.636339533850797745e-04;-2.118749950444728802e-02;1.634043193760257509e+03;-7.935346756167024296e+02;5.055976307444982813e+05;5.166411344099994312e+04
1.892370110426715071e-03;7.208352838283978159e-04;1.228232199166553584e-03;-3.598366566962308752e+03;-1.352700506631015287e+03;5.071810743989017210e+05;5.199054178357468481e+04
-9.980049414589661598e-04;-2.617761858094133642e-03;4.484657739689702077e-02;1.971133024566568565e+03;2.821485667820096296e+03;5.110689142426556791e+05;5.279003417695497046e+04
1.144298809666657261e-03;-3.544083918485225332e-03;6.016115101728249787e-02;-1.338093271202604001e+03;3.689565479852439239e+03;5.128569643032307504e+05;5.316076996226041956e+04
-3.953902748117666256e-04;1.286591521921347410e-03;3.326825366063655004e-02;1.016228836190939546e+03;-6.237521342534163296e+02;5.102143733230069047e+05;5.261154613505742600e+04
-1.347419928656060127e-03;-3.668420223501237410e-04;-1.128389524619495370e-02;1.856774887205712957e+03;-6.426377800054079898e+02;5.063811883981000865e+05;5.182448329607883352e+04
-5.231412103181999059e-05;5.957202322437122124e-04;2.293720171946702149e-02;-2.462449859996759756e+02;-2.069512347304112154e+02;5.089801360519117443e+05;5.235704838083327923e+04
-3.818250111939037496e-03;2.387207397520056066e-03;-9.704491054633558600e-02;1.722604123240315857e+03;-3.612037489176189865e+03;4.986629969071125961e+05;5.025919964600945968e+04
2.763054752844240863e-04;-1.897349983313897752e-04;-6.974838979138783639e-03;-2.799468322682411099e+02;-2.968881276934216089e+02;5.066726223675260553e+05;5.188340533077120926e+04
2.834859781466089225e-03;-1.618083968882029272e-03;-7.487411470587797269e-02;-2.845751671298389738e+03;1.446339875959928804e+03;5.008074643986612791e+05;5.069119696393649792e+04
1.904389350780117665e-03;5.868807626575157184e-04;-6.970086192118217505e-02;-1.167483134622455509e+03;-7.568668673854309645e+02;5.012840457681812695e+05;5.078604883445477753e+04
7.983683603763387258e-04;-1.302047892609927999e-03;-9.169556752780980494e-03;-1.316114297664190929e+02;1.505382157542814639e+03;5.064897163351237541e+05;5.184638071733492689e+04
-1.851816928619052149e-03;-3.103712329066541601e-03;4.438363901309561738e-02;2.609867349404404195e+03;3.085250466811348360e+03;5.106989367215637467e+05;5.271453908989002230e+04
2.680391154720745289e-04;-2.710237328923659900e-03;1.433721259697972282e-02;-2.103272083637892138e+03;2.590380823551785397e+03;5.082656187213662779e+05;5.221238097690253198e+04
-3.231684128416765795e-03;5.685330221885673621e-04;-1.536180065042406229e-01;3.508231305413607970e+03;-2.786515921379841529e+02;4.939551943421615870e+05;4.931402751959940360e+04
1.355314502421577690e-03;-2.331865156298838695e-03;-6.925359584091059229e-02;-1.378480873175970146e+03;4.442560383750985238e+03;5.010236826856185799e+05;5.073728874719818123e+04
1.072990989540098528e-03;1.761419246465874581e-03;-1.215444612008347164e-01;-2.278123602095168678e+02;-6.341038531477454399e+02;4.961624117855436634e+05;4.975329359619285242e+04
-4.889835548734901494e-05;-3.728725787728963664e-04;7.163332227832849841e-02;7.361456756574689564e+01;-5.882580105479206622e+02;5.133035823221885948e+05;5.325035220516114350e+04
1.680764123473210562e-03;-5.983061448556324267e-04;5.658486768723167137e-02;-1.400706186034163920e+03;9.750159847042604042e+02;5.121833727285818895e+05;5.301870162090296799e+04
2.420193384117883505e-03;-1.933121984521413280e-03;-1.203543297126971959e-02;-2.006941257876851751e+03;1.927763616012555531e+03;5.065684144581316505e+05;5.186359715867514024e+04
-4.033099424355676525e-03;-2.028917211254014033e-05;-5.943212789766108561e-02;2.830458123036613870e+03;9.022389209755945103e+02;5.022652283558293129e+05;5.098644527753417788e+04
4.940227311908019538e-03;-4.479007173772446755e-04;-2.482810477183444026e-02;-4.957608916100125498e+03;5.816038002943328138e+02;5.050147261001150473e+05;5.154942503974542342e+04
-5.415583102352093670e-03;1.856168464362504015e-03;4.090764719171784830e-02;5.107282387351715442e+03;-1.338998811731346677e+03;5.104721905039380072e+05;5.267007645041067008e+04
2.742083105573182335e-03;2.289417617636418868e-04;5.148298315550507709e-02;-2.493837484265538478e+03;3.745579105276620453e+02;5.116358765413889196e+05;5.290611186623848334e+04
1.069932453894822120e-03;5.443075060765664545e-04;-4.483648815673239862e-02;-1.818695690915480100e+03;-7.345322927698089188e+02;5.029644246320223319e+05;5.112748798644824274e+04
1.078806155287004688e-03;1.650946526906309090e-03;8.073071003928579403e-02;-6.264720703361031156e+02;-2.213084825863587866e+03;5.142824172304130625e+05;5.345463328610616736e+04
9.632139400170341374e-04;-1.080418190048525835e-03;6.191790179103856540e-02;-7.930156914011485014e+02;1.653273230985385680e+03;5.126844692930152523e+05;5.312258417233509681e+04
-4.084458632412132223e-04;-1.029672211210179260e-03;2.446426330621551820e-02;-5.281676211193499739e+02;1.878248611581519299e+03;5.092191906282384298e+05;5.240698981826941599e+04
-2.427890790682242267e-04;-2.239219634281245774e-03;7.884557739624091510e-02;-8.537738654445056454e+02;2.895935797546516369e+03;5.140538672211471712e+05;5.340790678948386631e+04
-9.752408302494805416e-04;2.870266526570750768e-03;4.319918408824856282e-02;-2.025499681498437781e+02;-3.424377448640731927e+03;5.108663446067610639e+05;5.274818024688159494e+04
3.204030282550513441e-03;-6.077108054816911329e-04;3.759665080133120507e-02;-1.993462912605940119e+03;-5.116184050764734934e+02;5.105479664626546437e+05;5.268093488810209965e+04
4.891531741918741925e-05;-7.563360914340204336e-04;-8.414162823531898261e-03;-1.199517481976783841e+02;1.419228170010172107e+03;5.061581466536981752e+05;5.177847033839696087e+04
-1.275818016187350249e-03;-9.694002700481042486e-04;9.402609847958636607e-03;9.785855507585587247e+02;8.906743382153622406e+02;5.081408366538497503e+05;5.218485204854548647e+04
7.732960383724010994e-04;-7.517216676168726817e-05;-6.172330940676283573e-02;-3.870918361628774846e+02;4.539222884845412409e+02;5.019820074767761980e+05;5.092725056152090110e+04
-1.499120044297116809e-03;-3.298511516054638756e-03;-1.212421968596349119e-02;3.614147209929220139e+02;3.637901522148209096e+03;5.059375820312301512e+05;5.173564543382497504e+04
-1.996823879628151568e-03;3.366078868289717465e-04;4.535295872910973664e-02;1.622657529004065282e+03;3.725336791942098102e+01;5.113675739877522574e+05;5.284988683038485033e+04
1.116944710901759041e-03;1.207307795037113529e-03;4.131370394532574153e-02;-2.372184131048306881e+03;-3.942837607587055572e+03;5.110217963202488027e+05;5.278218616151837341e+04
2.093790216039891593e-03;-4.847277867110225298e-03;-7.515296981791866338e-02;-4.897790271821989450e+02;4.241604311983240223e+03;5.004003058140369831e+05;5.061043459218792850e+04
2.239918268009618435e-03;-1.620865647621304870e-03;-2.605495210937087969e-02;-2.388048462418238614e+03;1.074747297018624295e+03;5.049317944395770319e+05;5.152884793008009001e+04
3.822565348272275593e-03;-5.879263287606393803e-04;-1.202361913752596351e-01;-4.327654844728376702e+03;-1.898784433030921036e+03;4.967809459111104370e+05;4.988184124097113818e+04
-1.811958933928585090e-03;2.059510130205113691e-03;3.011713140718375731e-02;1.823640842290985120e+03;-1.789536084025723540e+03;5.099404482358757523e+05;5.255610119172402483e+04
1.324216386143554003e-03;2.634278332897570934e-03;5.435984731377200424e-02;-1.268129120172576222e+03;-2.870611193508268116e+03;5.119270342021034448e+05;5.296704745850996551e+04
-6.833447462154620435e-04;1.302808178855289004e-03;-1.217103687958578755e-02;1.570518352941667445e+03;9.897442720426623737e+02;5.062045815549222752e+05;5.178825748937921162e+04
-3.348810401571239610e-03;1.834265087674951137e-03;-1.799636612231401631e-02;4.102221832807468672e+03;-7.967325924336868184e+02;5.054668335061205435e+05;5.164024884021826438e+04
9.516262303687692123e-04;-1.602851599032531667e-03;1.097947053773243725e-01;-1.271600402669712594e+03;1.869972580016720258e+03;5.166642106025643880e+05;5.395086254893776641e+04
2.229074962543740456e-04;3.856327865562822910e-03;5.299502714360720262e-02;-1.302102993849610755e+02;-3.305222456122224230e+03;5.116981017249990255e+05;5.291990724786966894e+04
2.028665182234766962e-04;1.655320880258849157e-03;-1.268055002895391026e-01;-2.822170592398847333e+01;-2.902459421763986938e+03;4.962758535303666722e+05;4.977765815638499771e+04
3.699948254270542334e-03;-3.580825836462241422e-04;1.067782599422742278e-02;-3.298958334308638314e+03;2.054517400890640147e+03;5.078697062946056249e+05;5.213187713336612069e+04
2.218117773025135345e-05;1.256050571744187459e-03;7.675887187156080205e-02;-1.430544970273785793e+03;-1.819549655430606890e+03;5.139680410039772978e+05;5.338931543493062054e+04
-1.128294734409716210e-05;1.434085535742826278e-03;-6.322996453778789716e-02;1.552199825267843835e+03;-3.515269858613028191e+02;5.016282033700551838e+05;5.085592743162967236e+04
-7.436995978575192514e-04;-5.417262686957244507e-03;-8.059703481477260498e-03;1.048369232947668024e+03;5.000339967704516312e+03;5.065631695846270304e+05;5.186623352394453104e+04
4.129497331029177362e-03;-3.910956695609932657e-03;-6.265323464970218303e-02;-1.362395088589618808e+03;1.458856700365115785e+03;5.013527513819657033e+05;5.080038508878737048e+04
-2.551327006608657133e-03;-9.985307182655029246e-04;-9.331002777480062668e-03;1.599412983827176049e+03;-1.503229958296024904e+02;5.065056713875415153e+05;5.184970725943649450e+04
1.469106734995482199e-03;-2.879000249413051892e-03;-5.633820172176747659e-02;-1.579397304020828642e+03;4.204692464188267877e+03;5.023583837341368780e+05;5.100765288166220853e+04
2.925516170090415678e-03;6.791329057256012243e-04;6.529849762656958490e-02;-3.215833647159814063e+03;-1.659543496498202103e+03;5.127838652226578561e+05;5.314515119651899295e+04
1.872525146290441667e-03;1.039845403097211605e-03;9.017742096050829215e-02;-7.257122666962699213e+02;-1.206142456617229527e+03;5.150931242653491790e+05;5.362262418593282928e+04
-4.045617162324116438e-03;8.182583331114145217e-04;-1.151221469392454781e-02;1.468236779890467687e+03;-2.278534992979794538e+02;5.063367353706210852e+05;5.181505086670186574e+04
-1.461387578702945779e-03;-1.721543587991431878e-03;5.769133888109066050e-02;-2.247260564098796181e+02;3.407942175171371673e+03;5.120158177790635382e+05;5.298578754791127722e+04
-1.840668674252312351e-03;4.312785886637257832e-04;-9.035318568082241486e-02;2.289118824736107854e+03;-2.815923734628402599e+03;4.993131687354160240e+05;5.038976063451294613e+04
-1.894151685158964671e-03;2.075690822237860091e-03;-1.034631741543343836e-01;9.134914567145578985e+02;-1.403135905633377888e+03;4.982120182331696269e+05;5.016567024054974172e+04
-1.538514832054409471e-03;-7.938094146089650824e-05;8.632920169388717813e-02;4.227291678192867948e+03;-8.304780222058479922e+02;5.148677090261750272e+05;5.357905261985021934e+04
2.224193776334815187e-03;-1.457546967151612805e-03;-7.300375230100794588e-02;-2.102083420750970618e+03;6.183674105921775777e+01;5.007293301179062109e+05;5.067421584798087861e+04
1.184121964754884706e-03;2.180411618957948418e-03;1.137681790784473984e-01;-1.423471000480824841e+03;-2.375708469955757209e+03;5.172058247593029519e+05;5.406454869204250281e+04
3.864699457995123249e-03;6.106355236632159502e-05;8.240246858683807768e-03;-2.262686290719047975e+03;-7.168355182249356403e+02;5.080112683815403143e+05;5.215902761744463351e+04
1.479705193724530771e-03;-9.979377241584419349e-04;1.589174370428572958e-01;-2.115515327437326505e+03;5.932694265217779730e+02;5.210201846084650024e+05;5.486433691100940632e+04
-1.452208053908307043e-03;6.372649620920206506e-04;1.630306067406993298e-01;9.377537012389030906e+02;-1.570027677462763677e+03;5.211110715429487173e+05;5.488317962638752215e+04
-5.520092225702580746e-05;-8.626759858405849777e-04;-5.199448870025178554e-02;-5.963478576692126580e+02;1.273472661675900554e+03;5.023070253111882485e+05;5.099354716516238113e+04
-7.648870894128660105e-04;1.547540024531146238e-03;1.104388926227191231e-01;-5.086280518525204002e+02;-2.627376286645318942e+03;5.167002475892133662e+05;5.395880265740871255e+04
6.060384988566658694e-04;6.640124036416586830e-04;-9.787059419216700973e-02;-9.292626307967102548e+02;1.649681292585091114e+03;4.989495977173280553e+05;5.031447233566044451e+04
6.455381451541397642e-04;2.033611227944150373e-03;3.576276397079970054e-02;-6.833301744075046145e+02;-2.379702035780803726e+03;5.105497698795036413e+05;5.268168989312397753e+04
1.170062682278140594e-03;1.120568869368786767e-03;-3.433315159940225625e-02;-4.592636319130673428e+02;-4.113147885008844469e+02;5.042871942360565299e+05;5.139606194237213640e+04
4.609363951128559594e-04;6.145339916767567773e-04;-2.080033575519561750e-02;-6.913540047953592875e+02;1.186894523455723174e+03;5.052730980430865311e+05;5.159752572995806986e+04
