# x (m); y (m); l (m); vx (m/s); vy (m/s); vz (m/s); E
-1.783760195057819192e-04;-3.341025826059767752e-04;-3.880689706574010078e-02;-1.736021884701485192e+02;6.014009443064383049e+02;5.036074243356965017e+05;5.125759600694596884e+04
2.180484712459583899e-04;-6.378529477884963992e-04;-2.204930105048616418e-03;8.993776384947605607e+01;-3.755129740172471884e+02;5.068553483608382521e+05;5.192083091138742020e+04
2.161510128069266297e-03;-7.414791101209288349e-04;-1.024121483022283341e-01;-4.523121838315570358e+02;-4.842229128652868440e+02;4.981620451326200273e+05;5.015512932278304652e+04
-3.853914965754794771e-04;1.117922388029546788e-03;-4.386976298175800093e-02;8.401369107650637034e+02;7.067904301198171879e+02;5.037033629884464899e+05;5.127729169737912162e+04
6.600384815931552730e-04;9.953898221762426217e-04;5.797611412460142166e-02;2.773194085174271208e+02;5.336838991361827489e+00;5.122368203027505660e+05;5.302919423087157338e+04
-5.246055563223492270e-04;-8.547282881285233388e-04;1.362428758707137644e-01;-6.983819010487757168e+02;2.120638207928942336e+02;5.189925926276653190e+05;5.443728944594156928e+04
1.709179888547553801e-04;6.802257572289336501e-04;5.950294642108014398e-02;4.558000758129837493e+01;-8.117145744214155911e+02;5.120788632425586111e+05;5.299661238238064107e+04
-1.252660944856644806e-03;1.024238576211074963e-03;1.099600109020314707e-02;-2.834455684940086257e+02;-2.429401934577384736e+02;5.081013842899464071e+05;5.217642338733025827e+04
-7.352927271841666352e-05;-5.079915438610351549e-04;1.371543787976245779e-02;-3.924048074320420483e+02;-4.515832632338627377e+02;5.087003095087970723e+05;5.229954605125761009e+04
-1.002963659490161970e-04;1.334879718455628944e-03;2.281802233772323857e-02;3.971699462403433500e+01;4.547220429269772239e+02;5.094430626777483849e+05;5.245235221329501655e+04
3.632005110485954559e-05;-2.238277567649410871e-04;-2.971002471477497686e-02;-2.088210908811609272e+02;-1.731790927810443463e+02;5.051486016276300652e+05;5.157173594527071691e+04
6.059915881819429896e-04;1.850437029673392565e-03;-1.885152061658043610e-02;3.677781201853853759e+02;-5.495168253930630726e+02;5.054428677973345038e+05;5.163191148566389893e+04
3.274644295938212578e-04;-2.305701609134427638e-04;6.335433108225178855e-02;-3.427510659130053341e+02;-6.054611486853518727e+02;5.130368080765056075e+05;5.319504289176389284e+04
7.467394851734685196e-04;1.019790777759847214e-03;3.845537324344430047e-02;-2.091307342670804985e+02;-7.116607399426053462e+02;5.107919486870571855e+05;5.273055191163848212e+04
8.972895486480571151e-04;4.449156643202168294e-04;-4.079505005311112424e-03;-4.437196978622690722e+02;4.405288499720761024e+02;5.070436567338876193e+05;5.195946649126791453e+04
9.333241809064878394e-04;-2.072539839408635461e-03;-8.719975227097248593e-02;-8.183499112238052930e+00;9.667772189720172094e+01;4.995499813366851304e+05;5.043490712785423966e+04
-1.274498999244177847e-03;4.428890314849830991e-04;-2.079778802235297819e-02;-1.295953308398602530e+02;2.576315211874405122e+02;5.056433831907249405e+05;5.167281401144928532e+04
5.521790704670535382e-05;5.913159137826704882e-05;5.369251304025068200e-02;1.140129317241947717e+02;2.487582820819424967e+02;5.118811098505808040e+05;5.295556973041265883e+04
-1.002441557302653210e-03;-8.820126921001009146e-04;-4.254990167106832005e-02;-4.554301909204835965e+02;7.387639713962715859e+02;5.037010464564319118e+05;5.127672866226907354e+04
2.037001108446236726e-04;2.314842741849295704e-04;-1.057949008843406119e-01;-1.897100079408231750e+02;-9.825759695361824697e+01;4.977965261794449179e+05;5.008147579197454615e+04
2.403619084587768444e-04;-3.670482687894297056e-04;6.948091519730674459e-02;3.180693943653183169e+02;1.520266471064566076e+02;5.128950026252699899e+05;5.316556764640777692e+04
-1.682786559127974523e-03;-1.513191244199061058e-05;3.881520248015629670e-02;1.060406583429492144e+02;5.881861206060759741e+02;5.105296003886521212e+05;5.267636096267018729e+04
1.249900077295541898e-03;-5.987791176964688033e-04;-4.903328883917630610e-02;-1.220821235627017813e+02;-1.396053203840109234e+02;5.025410223305138643e+05;5.104067531639201479e+04
-8.275341687247688522e-04;9.331824378794754743e-04;1.570154540734721577e-02;3.125513386633144250e+02;1.968912505284842211e+02;5.088716376074404106e+05;5.233473570719330746e+04
2.586727674149887535e-04;9.440575822682334027e-04;-6.185219261714280936e-02;3.668691267904270035e+02;2.188061040368638999e+02;5.015396910552557092e+05;5.083750710629714013e+04
-3.523343086742589418e-04;-6.713525847917038367e-04;2.206211036747788082e-02;-6.156714911975079758e+02;-6.111166666467580626e+02;5.088609170271452167e+05;5.233265513032160379e+04
-1.122792665649762286e-04;8.069453373334462172e-04;-4.219140472677862519e-02;-1.832611687747115923e+02;1.781484289905939136e+02;5.034409472415651544e+05;5.122364731081436912e+04
7.913115622670762687e-04;9.820157770515122557e-04;-7.039240722852704857e-02;7.927003762527142783e+01;-2.460525920908748958e+02;5.013899240055858972e+05;5.080712665089328220e+04
-1.664478527864833276e-03;8.129815285951419966e-04;5.377950111401771233e-02;-4.995490969975776352e+02;1.786920115470572057e+02;5.119132912955677602e+05;5.296227021811843588e+04
9.020134082936287359e-04;-3.129291305970088324e-04;-1.321269640641471862e-03;2.814260154768755342e+02;1.716846323035653654e+02;5.070502121360237361e+05;5.196075298289055354e+04
